Year,Region,Flow,Cumulative statistical value (euro) from the beginning of the year
201612,2 Varsinais-Suomi,Imports by countries of origin,3033000000
201612,2 Varsinais-Suomi,Exports by countries of destination,4000000000
201612,3 Satakunta,Imports by countries of origin,1247000000
201612,3 Satakunta,Exports by countries of destination,3098000000
201612,4 Kanta-Häme,Imports by countries of origin,727000000
201612,4 Kanta-Häme,Exports by countries of destination,1367000000
201612,5 Pirkanmaa,Imports by countries of origin,3318000000
201612,5 Pirkanmaa,Exports by countries of destination,4138000000
201612,6 Päijät-Häme,Imports by countries of origin,1074000000
201612,6 Päijät-Häme,Exports by countries of destination,1670000000
201612,7 Kymenlaakso,Imports by countries of origin,867000000
201612,7 Kymenlaakso,Exports by countries of destination,4661000000
201612,8 Etelä-Karjala,Imports by countries of origin,338000000
201612,8 Etelä-Karjala,Exports by countries of destination,1397000000
201612,9 Etelä-Savo,Imports by countries of origin,260000000
201612,9 Etelä-Savo,Exports by countries of destination,422000000
201612,10 Pohjois-Savo,Imports by countries of origin,515000000
201612,10 Pohjois-Savo,Exports by countries of destination,1177000000
201612,11 Pohjois-Karjala,Imports by countries of origin,299000000
201612,11 Pohjois-Karjala,Exports by countries of destination,755000000
201612,12 Keski-Suomi,Imports by countries of origin,775000000
201612,12 Keski-Suomi,Exports by countries of destination,2159000000
201612,13 Etelä-Pohjanmaa,Imports by countries of origin,503000000
201612,13 Etelä-Pohjanmaa,Exports by countries of destination,561000000
201612,14 Pohjanmaa,Imports by countries of origin,1382000000
201612,14 Pohjanmaa,Exports by countries of destination,3122000000
201612,15 Keski-Pohjanmaa,Imports by countries of origin,1415000000
201612,15 Keski-Pohjanmaa,Exports by countries of destination,1806000000
201612,16 Pohjois-Pohjanmaa,Imports by countries of origin,1421000000
201612,16 Pohjois-Pohjanmaa,Exports by countries of destination,1337000000
201612,17 Kainuu,Imports by countries of origin,74000000
201612,17 Kainuu,Exports by countries of destination,211000000
201612,18 Lappi,Imports by countries of origin,1595000000
201612,18 Lappi,Exports by countries of destination,3553000000
201612,19 Ahvenanmaa,Imports by countries of origin,480000000
201612,19 Ahvenanmaa,Exports by countries of destination,83000000
201612,20 Unknown,Imports by countries of origin,1238000000
201612,20 Unknown,Exports by countries of destination,513000000
201612,21 Total,Imports by countries of origin,55003000000
201612,21 Total,Exports by countries of destination,51878000000
201512,1 Uusimaa,Imports by countries of origin,33474000000
201512,1 Uusimaa,Exports by countries of destination,16912000000
201512,2 Varsinais-Suomi,Imports by countries of origin,3431000000
201512,2 Varsinais-Suomi,Exports by countries of destination,4647000000
