Region,Year,Labour_Index,Structure_Index
12,2012,70.29029040953823,89.67183992749241
12,2013,67.830133016068,95.83077225191722
12,2014,64.72126549816433,93.65864350605719
12,2015,55.77125372429433,97.98221145068491
12,2016,61.115614809193175,98.65865793310127
12,2017,73.43390200171616,99.15793640447738
12,2018,89.34899766514367,99.13157554196601
12,2019,87.31038507937039,102.96431038395797
12,2020,72.4960693047346,103.74346274576271
12,2021,96.78846040531616,102.97557763743998
12,2022,109.69147329096319,100.56679973473747
13,2010,50.35349809940757,156.63689540225096
13,2011,49.67120356179468,158.60540528849606
13,2012,43.976597034527934,157.1173345650994
13,2013,31.813707867373726,155.92170240949338
13,2014,24.388326098337444,160.8506639193326
13,2015,23.576684601093657,165.45737576691292
13,2016,36.77146623311515,162.91259049974755
13,2017,52.59725140462115,165.03530800685664
