Region,Municipality,Year,GDP per capita (euro at current prices),Imports (euro),Exports (euro),"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
16,TOTAL,2016,34360.6,1421000000,1337000000,112.0,1.6,137.9,187,127.7,20.2,62.3,40,60.7,34.3,83.2,124.3,264.9,52.9,5.4
16,TOTAL,2017,36677.6,1790000000,1877000000,112.4,-0.5,152.9,195.7,132.3,20.1,79.7,38.5,63.2,34.6,103,115.6,249.2,54.6,5.5
16,TOTAL,2018,37691.3,2073000000,2319000000,113.5,2.9,157.7,187.8,136.1,21.1,77.3,28.3,57.2,40.5,101.9,114.6,264.2,52.5,4.7
16,TOTAL,2019,37646.5,2190000000,2282000000,125.2,2.5,158,203.1,133.7,21.6,70.5,28.9,66,44.9,101.9,116.3,265.8,53.1,3.8
16,TOTAL,2020,38099.4,1857000000,1621000000,118.5,2,146.4,198.6,143.3,18.3,88.8,28.5,61.5,47.3,106.4,117.7,263.8,45.3,4.2
16,TOTAL,2021,38338.0,2361000000,2195000000,120.0,1.6,143.3,202.8,133.6,19.8,103.4,34,61.2,52.1,114.9,123.9,269.5,49.1,3.9
16,TOTAL,2022,40369.2,2785000000,2463000000,123.0,2.5,148,204.4,132,25.1,85.6,32.2,65.3,51.9,118.7,128.9,278.2,54.4,5
17,TOTAL,2015,30722.1,51000000,145000000,346.4,141.6,884.1,794.4,478.8,164.1,350.5,229.8,560.5,313.4,550.5,834,1422.7,309.3,36.6
17,TOTAL,2016,32800.4,74000000,211000000,339.0,123.6,967.4,818.4,482.9,181,377,227.7,491.4,318.1,536.1,828.8,1432.9,316.7,30.5
17,TOTAL,2017,33819.4,91000000,354000000,354.7,136.1,1073.9,852.6,506.9,185.3,459.2,240.8,519.9,340.3,527.6,856,1429,326.4,30.9
17,TOTAL,2018,34444.4,102000000,439000000,381.2,135.6,1195.1,874.2,526.9,191.5,448.5,237.6,592.1,369.4,550.1,898,1501.8,336.5,30.8
17,TOTAL,2019,35958.2,98000000,440000000,432.3,120.2,1221.5,854.4,518.8,195.8,467,242.2,657.8,404.2,564.5,936.3,1553,331,31.7
17,TOTAL,2020,36433.7,121000000,395000000,451.3,86.9,1261.3,889,508.2,157.7,500.7,291.6,642,361,586.8,971.6,1577.1,307.3,40.5
17,TOTAL,2021,39159.1,94000000,520000000,464.0,86.7,1243.6,974.1,486.9,159.5,566.3,327.2,656.8,385.3,644.5,1007.5,1670.4,319.3,48.2
17,TOTAL,2022,41666.7,110000000,814000000,501.7,56.9,1373.9,1003.7,607.3,215.9,610.6,349.9,678.3,436.7,661.3,1042.5,1756.2,324.4,43.6
18,TOTAL,2015,26235.2,1695000000,3875000000,123.3,-21.8,106.8,134.3,79.6,27.5,24,31.9,52.3,62,255.7,101.4,179.8,68.7,7.9
18,TOTAL,2016,27928.0,1595000000,3553000000,118.3,-13.9,121.5,149.2,79.7,30.8,25.9,29.1,51,71.2,249,110.4,187.5,71,6.5
18,TOTAL,2017,30238.2,1754000000,3915000000,122.3,89.4,146.5,150.6,80,33.5,26.9,43,34.8,73.6,253.1,94.8,190.7,68.8,6.6
18,TOTAL,2018,32054.5,1992000000,4329000000,136.6,116.7,149.8,154.3,71.9,35.1,32.2,39.4,56.3,82.8,260.3,90.9,198,66.7,6.4
18,TOTAL,2019,32771.3,1971000000,3818000000,158.7,104.9,153.7,155,78.1,31,31.7,23.9,67.4,86,260.4,89.1,199.1,57.4,6.7
18,TOTAL,2020,33797.5,1601000000,3446000000,167.1,119.6,160.7,145.7,69.8,29.5,34.8,31.4,60.8,77.8,245.5,88.9,201.9,57.5,8.1
18,TOTAL,2021,35109.9,2409000000,4244000000,157.1,110.1,167.6,150.4,66.7,31.8,43.1,36,59.1,77.1,255.1,97,210.9,64.3,7.3
18,TOTAL,2022,42125.5,2996000000,5127000000,168.0,168.6,158.4,154,67.7,37.5,202.8,34.3,33.7,76.7,284,101.4,218.8,58.9,4.4
19,TOTAL,2015,34671.4,559000000,103000000,155.3,212,354.8,330.7,264.9,143.9,60.8,64.2,201.1,130.7,422.4,352.4,663.9,148.2,14.1
19,TOTAL,2016,35623.9,480000000,83000000,158.5,225.6,370.3,337.2,264.4,157.1,58.3,55.6,188.8,147.1,403,340.6,678.4,155.3,12.1
19,TOTAL,2017,38040.4,347000000,96000000,168.9,353.7,400.5,365.1,266.7,183.4,57.7,58.6,195.3,166.6,406.9,329,671.8,171.8,12.3
19,TOTAL,2018,38212.6,243000000,94000000,170.5,374.3,439,361.3,257.9,206.5,57,49.8,209,186.1,408.7,322.7,698.4,176.7,14.5
19,TOTAL,2019,38188.6,398000000,104000000,193.4,305.8,426.1,387.2,269.1,210.1,56.1,47.8,186.2,183.9,438.4,327.8,704.4,160.9,16.1
19,TOTAL,2020,38277.2,309000000,85000000,202.8,447.9,425.3,375.2,233.4,168.1,69.6,48.8,177.1,167.3,415.5,327.4,726.9,144.3,20
19,TOTAL,2021,39167.2,385000000,113000000,186.0,594.4,419.9,401.6,231.2,103.3,76,52.5,205.4,140.2,459.2,351.2,774.2,146.8,20.4
