Municipality,Year,"A Agriculture, forestry and fishing Stock Of Enterprises (unit)",B Mining and quarrying Stock Of Enterprises (unit),C Manufacturing Stock Of Enterprises (unit),"D Electricity,  gas, steam and air conditioning supply Stock Of Enterprises (unit)","E Water supply: sewerage, waste management and remediation activities Stock Of Enterprises (unit)",F Construction Stock Of Enterprises (unit),G Wholesale and retail trade: repair of motor vehicles and motorcycles Stock Of Enterprises (unit),H Transportation and storage Stock Of Enterprises (unit),I Accommodation and food service activities Stock Of Enterprises (unit),J Information and communication Stock Of Enterprises (unit),K Financial and insurance activities Stock Of Enterprises (unit),L Real estate activities Stock Of Enterprises (unit),"M Professional, scientific and technical activities Stock of Enterprises (unit)",N Administrative and support service activities Stock Of Enterprises (unit),O Public administration and defence: compulsory social security Stock Of Enterprises (unit),P Education Stock Of Enterprises (unit),Q Human health and social work activities Stock Of Enterprises (unit),"R Arts, entertainment and recreation Stock Of Enterprises (unit)",S Other service activities Stock Of Enterprises (unit),T Activities of households as employers: undifferentiated goods- and services-producing activities of households for own use Stock Of Enterprises (unit),U Activities of extraterritorial organisations and bodies Stock Of Enterprises (unit),X Industry unknown Stock Of Enterprises (unit),Region
019,2008.0,11.0,2.0,40.0,,2.0,63.0,42.0,15.0,7.0,7.0,1.0,13.0,23.0,14.0,,2.0,7.0,1.0,20.0,,,,02
019,2009.0,10.0,2.0,40.0,,2.0,66.0,48.0,18.0,9.0,6.0,1.0,13.0,25.0,17.0,,2.0,5.0,5.0,22.0,,,,02
019,2010.0,9.0,2.0,39.0,,3.0,73.0,50.0,18.0,8.0,6.0,2.0,15.0,26.0,17.0,,1.0,6.0,5.0,22.0,,,,02
019,2011.0,10.0,2.0,40.0,,3.0,82.0,49.0,17.0,10.0,6.0,2.0,15.0,27.0,15.0,,1.0,7.0,6.0,23.0,,,,02
019,2012.0,12.0,2.0,41.0,1.0,3.0,86.0,48.0,20.0,9.0,6.0,3.0,15.0,28.0,19.0,,1.0,7.0,4.0,23.0,,,,02
035,2005.0,9.0,,6.0,1.0,,13.0,10.0,6.0,12.0,,1.0,,3.0,5.0,,,,,3.0,,,,21
035,2006.0,10.0,,6.0,1.0,,12.0,9.0,6.0,13.0,,1.0,,3.0,5.0,,,2.0,,3.0,,,,21
035,2007.0,10.0,,6.0,1.0,,12.0,8.0,6.0,13.0,,1.0,,3.0,7.0,,,2.0,,3.0,,,,21
035,2008.0,9.0,,6.0,1.0,,12.0,7.0,6.0,14.0,1.0,1.0,,4.0,7.0,,,2.0,,3.0,,,,21
035,2009.0,8.0,,5.0,1.0,,11.0,6.0,6.0,14.0,1.0,1.0,,4.0,6.0,,,2.0,,3.0,,,,21
035,2010.0,8.0,,5.0,1.0,,11.0,7.0,7.0,14.0,1.0,1.0,,5.0,5.0,,,2.0,,3.0,,,,21
035,2011.0,8.0,,6.0,2.0,,13.0,8.0,8.0,15.0,1.0,1.0,,7.0,5.0,,,1.0,1.0,3.0,,,,21
035,2012.0,8.0,,6.0,2.0,,13.0,7.0,8.0,15.0,1.0,1.0,,7.0,5.0,,,1.0,1.0,3.0,,,,21
043,2005.0,9.0,,4.0,2.0,1.0,19.0,13.0,6.0,28.0,2.0,,,1.0,3.0,,,2.0,6.0,1.0,,,,21
043,2006.0,9.0,,5.0,3.0,1.0,22.0,11.0,6.0,29.0,1.0,,,2.0,4.0,,,3.0,6.0,1.0,,,,21
043,2007.0,8.0,,6.0,2.0,1.0,28.0,13.0,6.0,28.0,2.0,,1.0,4.0,5.0,,,3.0,6.0,2.0,,,,21
043,2008.0,8.0,,5.0,2.0,1.0,28.0,14.0,7.0,29.0,2.0,,2.0,5.0,5.0,,,4.0,7.0,3.0,,,,21
043,2009.0,9.0,,6.0,2.0,1.0,27.0,14.0,6.0,30.0,2.0,,2.0,4.0,5.0,,,6.0,6.0,3.0,,,,21
043,2010.0,10.0,,6.0,2.0,1.0,28.0,12.0,6.0,33.0,2.0,,2.0,4.0,5.0,,,6.0,6.0,3.0,,,,21
043,2011.0,10.0,,6.0,2.0,1.0,28.0,11.0,7.0,34.0,2.0,,2.0,5.0,6.0,,,6.0,6.0,3.0,,,,21
043,2012.0,10.0,,6.0,2.0,1.0,29.0,10.0,7.0,31.0,2.0,,2.0,6.0,7.0,,1.0,5.0,7.0,3.0,,,,21
046,2005.0,12.0,1.0,7.0,,,16.0,11.0,11.0,1.0,1.0,2.0,2.0,3.0,6.0,,1.0,6.0,,6.0,,,,10
046,2006.0,13.0,1.0,5.0,,,22.0,11.0,11.0,2.0,1.0,2.0,2.0,3.0,4.0,,1.0,8.0,,6.0,,,,10
