Municipality,Year,"A Agriculture, forestry and fishing Stock Of Enterprises (unit)",B Mining and quarrying Stock Of Enterprises (unit),C Manufacturing Stock Of Enterprises (unit),"D Electricity,  gas, steam and air conditioning supply Stock Of Enterprises (unit)","E Water supply: sewerage, waste management and remediation activities Stock Of Enterprises (unit)",F Construction Stock Of Enterprises (unit),G Wholesale and retail trade: repair of motor vehicles and motorcycles Stock Of Enterprises (unit),H Transportation and storage Stock Of Enterprises (unit),I Accommodation and food service activities Stock Of Enterprises (unit),J Information and communication Stock Of Enterprises (unit),K Financial and insurance activities Stock Of Enterprises (unit),L Real estate activities Stock Of Enterprises (unit),"M Professional, scientific and technical activities Stock of Enterprises (unit)",N Administrative and support service activities Stock Of Enterprises (unit),O Public administration and defence: compulsory social security Stock Of Enterprises (unit),P Education Stock Of Enterprises (unit),Q Human health and social work activities Stock Of Enterprises (unit),"R Arts, entertainment and recreation Stock Of Enterprises (unit)",S Other service activities Stock Of Enterprises (unit),T Activities of households as employers: undifferentiated goods- and services-producing activities of households for own use Stock Of Enterprises (unit),U Activities of extraterritorial organisations and bodies Stock Of Enterprises (unit),X Industry unknown Stock Of Enterprises (unit),Region
529,2006.0,24.0,1.0,118.0,4.0,3.0,236.0,195.0,83.0,54.0,21.0,15.0,94.0,138.0,49.0,,12.0,15.0,25.0,56.0,,,,02
529,2007.0,23.0,,133.0,4.0,4.0,245.0,209.0,89.0,56.0,20.0,16.0,99.0,148.0,53.0,,15.0,13.0,26.0,65.0,,,,02
529,2008.0,21.0,,124.0,4.0,4.0,255.0,215.0,92.0,58.0,20.0,11.0,102.0,152.0,59.0,,15.0,16.0,31.0,71.0,,,,02
529,2009.0,23.0,,121.0,4.0,4.0,254.0,215.0,87.0,56.0,25.0,10.0,105.0,156.0,63.0,,15.0,14.0,33.0,75.0,,,,02
529,2010.0,22.0,,114.0,5.0,5.0,259.0,223.0,83.0,59.0,25.0,8.0,111.0,159.0,69.0,,14.0,17.0,35.0,80.0,,,,02
529,2011.0,27.0,,110.0,5.0,6.0,265.0,229.0,83.0,58.0,28.0,9.0,118.0,167.0,74.0,,17.0,18.0,35.0,78.0,,,,02
529,2012.0,31.0,,114.0,4.0,6.0,263.0,232.0,83.0,53.0,26.0,9.0,119.0,168.0,79.0,,19.0,20.0,37.0,76.0,,,,02
531,2005.0,18.0,1.0,56.0,4.0,2.0,60.0,67.0,30.0,6.0,6.0,4.0,15.0,15.0,20.0,,2.0,4.0,2.0,22.0,,,,04
531,2006.0,18.0,1.0,60.0,4.0,3.0,67.0,62.0,29.0,8.0,8.0,3.0,14.0,18.0,22.0,,2.0,7.0,3.0,23.0,,,,04
531,2007.0,19.0,1.0,60.0,2.0,3.0,67.0,61.0,33.0,8.0,5.0,3.0,14.0,22.0,20.0,,2.0,7.0,4.0,25.0,,,,04
531,2008.0,21.0,1.0,58.0,2.0,3.0,64.0,61.0,32.0,7.0,4.0,3.0,14.0,22.0,21.0,,2.0,8.0,5.0,25.0,,,,04
531,2009.0,20.0,1.0,60.0,2.0,3.0,63.0,57.0,33.0,8.0,4.0,4.0,15.0,26.0,20.0,,2.0,7.0,7.0,27.0,,,,04
531,2010.0,21.0,1.0,59.0,2.0,3.0,67.0,58.0,31.0,8.0,4.0,4.0,15.0,24.0,19.0,,2.0,8.0,6.0,28.0,,,,04
531,2011.0,19.0,1.0,57.0,2.0,3.0,66.0,65.0,32.0,8.0,5.0,5.0,16.0,26.0,20.0,,2.0,8.0,6.0,30.0,,,,04
531,2012.0,22.0,1.0,57.0,2.0,2.0,64.0,71.0,29.0,8.0,5.0,5.0,19.0,22.0,21.0,,2.0,7.0,6.0,28.0,,,,04
532,2005.0,35.0,2.0,134.0,,2.0,133.0,126.0,59.0,30.0,14.0,2.0,58.0,81.0,33.0,,5.0,14.0,10.0,46.0,,,,
532,2006.0,32.0,,133.0,,2.0,139.0,130.0,63.0,33.0,14.0,2.0,55.0,81.0,37.0,,5.0,16.0,12.0,49.0,,,,
532,2007.0,29.0,1.0,133.0,,2.0,144.0,127.0,70.0,35.0,17.0,3.0,58.0,87.0,36.0,,7.0,18.0,14.0,48.0,,,,
532,2008.0,31.0,1.0,137.0,,3.0,145.0,131.0,70.0,35.0,18.0,3.0,56.0,91.0,34.0,,8.0,21.0,13.0,48.0,,,,
532,2009.0,28.0,1.0,126.0,,3.0,150.0,126.0,69.0,34.0,19.0,3.0,58.0,95.0,36.0,,9.0,20.0,13.0,48.0,,,,
532,2010.0,29.0,1.0,125.0,,3.0,165.0,131.0,65.0,36.0,18.0,4.0,59.0,101.0,43.0,,8.0,21.0,14.0,48.0,,,,
532,2011.0,30.0,1.0,130.0,,3.0,176.0,124.0,66.0,31.0,16.0,4.0,61.0,102.0,46.0,,9.0,20.0,14.0,46.0,,,,
532,2012.0,34.0,1.0,127.0,,3.0,175.0,120.0,64.0,27.0,15.0,4.0,63.0,111.0,48.0,,10.0,16.0,14.0,48.0,,,,
535,2005.0,36.0,6.0,73.0,1.0,4.0,68.0,95.0,43.0,14.0,4.0,7.0,22.0,32.0,13.0,1.0,,9.0,4.0,39.0,,,,17
535,2006.0,34.0,7.0,75.0,1.0,4.0,77.0,102.0,46.0,16.0,4.0,8.0,23.0,35.0,17.0,1.0,,8.0,5.0,40.0,,,,17
535,2007.0,37.0,8.0,75.0,1.0,4.0,90.0,99.0,46.0,17.0,5.0,8.0,22.0,38.0,14.0,1.0,,12.0,5.0,41.0,,,,17
535,2008.0,37.0,8.0,81.0,1.0,4.0,93.0,93.0,47.0,16.0,6.0,7.0,22.0,36.0,13.0,1.0,,10.0,5.0,43.0,,,,17
535,2009.0,44.0,7.0,76.0,1.0,4.0,97.0,99.0,46.0,14.0,5.0,7.0,22.0,43.0,13.0,1.0,,11.0,4.0,42.0,,,,17
535,2010.0,46.0,8.0,78.0,1.0,4.0,99.0,93.0,46.0,15.0,5.0,6.0,25.0,43.0,15.0,1.0,1.0,10.0,4.0,41.0,,,,17
535,2011.0,48.0,7.0,77.0,1.0,4.0,105.0,94.0,49.0,13.0,6.0,6.0,25.0,47.0,16.0,1.0,1.0,12.0,4.0,45.0,,,,17
535,2012.0,54.0,7.0,74.0,1.0,7.0,103.0,98.0,48.0,13.0,7.0,5.0,28.0,45.0,17.0,1.0,1.0,13.0,4.0,41.0,,,,17
536,2005.0,13.0,1.0,168.0,6.0,11.0,230.0,298.0,107.0,49.0,26.0,6.0,117.0,123.0,53.0,1.0,8.0,19.0,35.0,91.0,,,,06
536,2006.0,16.0,1.0,165.0,6.0,12.0,256.0,321.0,111.0,49.0,29.0,10.0,126.0,136.0,56.0,1.0,10.0,23.0,39.0,93.0,,,,06
536,2007.0,15.0,1.0,165.0,6.0,12.0,284.0,322.0,117.0,53.0,32.0,13.0,131.0,150.0,59.0,1.0,13.0,24.0,43.0,106.0,,,,06
536,2008.0,22.0,1.0,167.0,6.0,12.0,296.0,326.0,118.0,51.0,39.0,17.0,140.0,169.0,66.0,1.0,14.0,26.0,44.0,114.0,,,,06
536,2009.0,25.0,,160.0,5.0,12.0,293.0,326.0,120.0,59.0,37.0,17.0,149.0,172.0,81.0,1.0,17.0,27.0,46.0,117.0,,,,06
536,2010.0,25.0,,160.0,6.0,12.0,314.0,341.0,113.0,63.0,37.0,14.0,151.0,184.0,92.0,,19.0,31.0,54.0,117.0,,,,06
536,2011.0,24.0,1.0,161.0,5.0,13.0,321.0,356.0,117.0,67.0,44.0,15.0,155.0,197.0,89.0,,24.0,37.0,59.0,119.0,,,,06
536,2012.0,23.0,1.0,164.0,6.0,13.0,327.0,354.0,120.0,66.0,49.0,15.0,158.0,200.0,94.0,,28.0,42.0,61.0,124.0,,,,06
538,2005.0,22.0,,24.0,,,69.0,42.0,44.0,5.0,9.0,3.0,14.0,24.0,8.0,,,4.0,3.0,12.0,,,,02
538,2006.0,22.0,,23.0,,1.0,66.0,42.0,41.0,5.0,7.0,3.0,15.0,25.0,9.0,,,4.0,4.0,14.0,,,,02
538,2007.0,22.0,,21.0,,1.0,69.0,47.0,41.0,6.0,7.0,4.0,16.0,24.0,11.0,,,6.0,6.0,14.0,,,,02
538,2008.0,22.0,,21.0,,2.0,75.0,47.0,40.0,6.0,8.0,4.0,14.0,23.0,11.0,,,8.0,4.0,13.0,,,,02
538,2009.0,19.0,,22.0,,2.0,75.0,49.0,43.0,6.0,9.0,4.0,14.0,23.0,11.0,,,8.0,3.0,15.0,,,,02
538,2010.0,20.0,,24.0,,2.0,78.0,53.0,38.0,6.0,9.0,4.0,14.0,24.0,11.0,,1.0,8.0,2.0,17.0,,,,02
538,2011.0,21.0,,23.0,,2.0,84.0,59.0,38.0,7.0,11.0,4.0,15.0,26.0,16.0,,1.0,9.0,2.0,19.0,,,,02
538,2012.0,26.0,,22.0,,2.0,86.0,59.0,35.0,9.0,11.0,3.0,15.0,29.0,18.0,,1.0,8.0,2.0,16.0,,,,02
541,2005.0,41.0,,46.0,2.0,4.0,39.0,76.0,52.0,19.0,10.0,4.0,24.0,40.0,20.0,,2.0,12.0,8.0,24.0,1.0,,,12
541,2006.0,42.0,,46.0,2.0,5.0,42.0,77.0,54.0,20.0,10.0,4.0,23.0,46.0,20.0,,2.0,15.0,11.0,25.0,,,,12
541,2007.0,47.0,,47.0,2.0,6.0,46.0,77.0,52.0,20.0,8.0,4.0,24.0,46.0,20.0,,2.0,15.0,10.0,28.0,,,,12
541,2008.0,48.0,,53.0,2.0,6.0,51.0,80.0,52.0,21.0,9.0,4.0,22.0,41.0,24.0,,2.0,16.0,10.0,29.0,,,,12
541,2009.0,48.0,,55.0,1.0,6.0,51.0,80.0,49.0,20.0,9.0,5.0,23.0,39.0,27.0,,2.0,15.0,9.0,28.0,,,,12
541,2010.0,50.0,,54.0,1.0,6.0,52.0,79.0,47.0,19.0,9.0,4.0,23.0,38.0,27.0,,1.0,14.0,9.0,28.0,,,,12
541,2011.0,45.0,,50.0,1.0,6.0,53.0,83.0,47.0,18.0,9.0,5.0,21.0,39.0,25.0,,1.0,17.0,8.0,29.0,,,,12
541,2012.0,47.0,,51.0,2.0,6.0,54.0,81.0,49.0,18.0,10.0,5.0,23.0,42.0,24.0,,1.0,20.0,10.0,28.0,,,,12
543,2005.0,59.0,4.0,192.0,2.0,7.0,498.0,387.0,242.0,53.0,88.0,12.0,108.0,281.0,127.0,,25.0,33.0,31.0,88.0,,,,01
543,2006.0,60.0,3.0,190.0,2.0,8.0,546.0,419.0,248.0,52.0,96.0,12.0,119.0,295.0,136.0,,27.0,33.0,37.0,103.0,,,,01
543,2007.0,60.0,5.0,197.0,3.0,7.0,571.0,429.0,255.0,54.0,108.0,12.0,124.0,312.0,143.0,,35.0,40.0,47.0,114.0,,,,01
543,2008.0,64.0,5.0,198.0,3.0,9.0,622.0,447.0,259.0,50.0,109.0,15.0,132.0,331.0,143.0,,38.0,44.0,53.0,125.0,,,,01
543,2009.0,63.0,4.0,197.0,3.0,10.0,624.0,452.0,273.0,52.0,114.0,13.0,131.0,336.0,146.0,,37.0,48.0,58.0,135.0,,,,01
543,2010.0,63.0,4.0,193.0,4.0,11.0,634.0,460.0,268.0,56.0,113.0,16.0,130.0,352.0,162.0,,42.0,53.0,62.0,135.0,,,,01
543,2011.0,68.0,3.0,201.0,4.0,11.0,651.0,475.0,262.0,56.0,116.0,15.0,140.0,378.0,168.0,,44.0,57.0,66.0,156.0,,,,01
543,2012.0,71.0,3.0,200.0,3.0,11.0,653.0,485.0,261.0,55.0,119.0,16.0,140.0,388.0,171.0,,45.0,59.0,77.0,159.0,1.0,,,01
545,2005.0,172.0,3.0,98.0,2.0,11.0,83.0,166.0,80.0,20.0,22.0,6.0,48.0,57.0,24.0,,2.0,2.0,6.0,30.0,,,,15
545,2006.0,185.0,4.0,100.0,3.0,11.0,85.0,165.0,77.0,22.0,23.0,6.0,51.0,60.0,23.0,,3.0,2.0,6.0,32.0,,,,15
545,2007.0,194.0,3.0,97.0,4.0,11.0,89.0,165.0,83.0,20.0,23.0,6.0,52.0,60.0,27.0,,3.0,5.0,6.0,36.0,,,,15
545,2008.0,193.0,2.0,100.0,4.0,11.0,93.0,166.0,82.0,19.0,24.0,6.0,52.0,67.0,31.0,,3.0,6.0,8.0,38.0,,,,15
545,2009.0,213.0,2.0,88.0,4.0,11.0,96.0,165.0,75.0,23.0,25.0,6.0,53.0,63.0,31.0,,3.0,8.0,9.0,36.0,,,,15
545,2010.0,206.0,2.0,89.0,4.0,11.0,95.0,169.0,75.0,22.0,28.0,6.0,53.0,63.0,34.0,,3.0,8.0,9.0,38.0,,,,15
545,2011.0,208.0,2.0,89.0,6.0,12.0,95.0,165.0,77.0,22.0,27.0,6.0,54.0,62.0,39.0,,2.0,8.0,9.0,41.0,,,,15
545,2012.0,214.0,2.0,93.0,7.0,12.0,100.0,170.0,83.0,23.0,26.0,5.0,56.0,60.0,38.0,,2.0,9.0,10.0,41.0,,,,15
560,2005.0,53.0,7.0,121.0,3.0,4.0,234.0,158.0,79.0,32.0,15.0,5.0,57.0,69.0,47.0,,5.0,20.0,27.0,49.0,,,,07
560,2006.0,59.0,7.0,118.0,3.0,4.0,240.0,157.0,81.0,32.0,16.0,4.0,62.0,78.0,51.0,,6.0,25.0,27.0,49.0,,,,07
560,2007.0,62.0,6.0,122.0,3.0,6.0,252.0,162.0,85.0,30.0,16.0,5.0,62.0,84.0,53.0,,6.0,27.0,28.0,53.0,,,,07
560,2008.0,66.0,6.0,120.0,3.0,6.0,266.0,168.0,85.0,33.0,16.0,4.0,60.0,96.0,56.0,,4.0,30.0,28.0,55.0,,,,07
560,2009.0,69.0,6.0,121.0,3.0,8.0,265.0,174.0,83.0,32.0,18.0,4.0,63.0,97.0,58.0,,4.0,32.0,26.0,52.0,,,,07
560,2010.0,72.0,6.0,115.0,3.0,8.0,267.0,166.0,84.0,30.0,19.0,4.0,68.0,100.0,56.0,,5.0,34.0,28.0,55.0,,,,07
560,2011.0,75.0,7.0,111.0,2.0,9.0,274.0,165.0,85.0,29.0,17.0,3.0,76.0,98.0,53.0,,7.0,38.0,34.0,54.0,,,,07
560,2012.0,76.0,7.0,115.0,2.0,8.0,284.0,165.0,84.0,28.0,17.0,3.0,74.0,98.0,51.0,,9.0,38.0,36.0,53.0,,,,07
561,2005.0,24.0,,9.0,,3.0,26.0,18.0,12.0,2.0,1.0,2.0,4.0,5.0,7.0,,,1.0,1.0,2.0,,,,02
561,2006.0,23.0,,9.0,,3.0,29.0,18.0,10.0,2.0,1.0,2.0,4.0,6.0,6.0,,,1.0,1.0,2.0,,,,02
561,2007.0,24.0,,11.0,,3.0,30.0,18.0,10.0,2.0,1.0,3.0,4.0,6.0,8.0,,,1.0,1.0,2.0,,,,02
561,2008.0,26.0,,12.0,,3.0,29.0,23.0,9.0,2.0,1.0,3.0,4.0,6.0,9.0,,,1.0,1.0,2.0,,,,02
561,2009.0,27.0,,12.0,,2.0,30.0,20.0,9.0,2.0,1.0,3.0,4.0,6.0,8.0,,,,1.0,2.0,,,,02
561,2010.0,27.0,,11.0,,2.0,35.0,19.0,9.0,2.0,1.0,1.0,4.0,6.0,7.0,,,,1.0,2.0,,,,02
561,2011.0,25.0,,10.0,,2.0,34.0,19.0,8.0,2.0,1.0,1.0,4.0,6.0,7.0,,,,1.0,3.0,,,,02
561,2012.0,24.0,,9.0,,2.0,37.0,20.0,8.0,2.0,1.0,1.0,4.0,6.0,7.0,,,,1.0,3.0,,,,02
562,2005.0,43.0,4.0,70.0,4.0,1.0,91.0,116.0,54.0,19.0,9.0,8.0,41.0,32.0,25.0,,5.0,13.0,7.0,33.0,,,,06
562,2006.0,46.0,5.0,73.0,4.0,2.0,106.0,122.0,54.0,21.0,12.0,7.0,41.0,34.0,27.0,,7.0,16.0,7.0,33.0,,,,06
562,2007.0,46.0,5.0,73.0,4.0,5.0,106.0,122.0,55.0,23.0,13.0,6.0,40.0,36.0,30.0,,7.0,19.0,9.0,35.0,,,,06
562,2008.0,45.0,5.0,78.0,4.0,5.0,111.0,121.0,54.0,21.0,13.0,6.0,38.0,36.0,34.0,,9.0,19.0,12.0,41.0,,,,06
562,2009.0,43.0,3.0,76.0,5.0,5.0,115.0,127.0,56.0,22.0,13.0,7.0,35.0,38.0,37.0,,9.0,20.0,12.0,43.0,,,,06
562,2010.0,47.0,4.0,75.0,5.0,6.0,117.0,130.0,54.0,22.0,10.0,7.0,37.0,37.0,34.0,,8.0,25.0,15.0,41.0,,,,06
562,2011.0,49.0,4.0,76.0,5.0,6.0,118.0,122.0,52.0,24.0,13.0,7.0,38.0,40.0,34.0,,9.0,27.0,15.0,47.0,,,,06
562,2012.0,52.0,4.0,78.0,5.0,7.0,115.0,124.0,54.0,28.0,13.0,8.0,38.0,42.0,36.0,,10.0,27.0,16.0,47.0,,,,06
563,2005.0,35.0,3.0,33.0,1.0,2.0,52.0,68.0,35.0,14.0,1.0,1.0,12.0,26.0,13.0,,4.0,10.0,2.0,31.0,,,,17
563,2006.0,37.0,2.0,32.0,1.0,2.0,55.0,69.0,38.0,14.0,1.0,2.0,14.0,26.0,11.0,,4.0,11.0,2.0,32.0,,,,17
563,2007.0,36.0,2.0,29.0,1.0,2.0,59.0,74.0,38.0,13.0,2.0,2.0,14.0,25.0,10.0,,5.0,9.0,2.0,32.0,,,,17
563,2008.0,37.0,2.0,26.0,1.0,2.0,64.0,73.0,39.0,16.0,3.0,2.0,13.0,28.0,11.0,,4.0,9.0,2.0,35.0,,,,17
563,2009.0,40.0,2.0,29.0,1.0,2.0,62.0,66.0,39.0,19.0,4.0,2.0,13.0,26.0,11.0,,4.0,8.0,2.0,35.0,,,,17
563,2010.0,39.0,2.0,29.0,2.0,2.0,62.0,72.0,38.0,17.0,5.0,2.0,15.0,28.0,11.0,,4.0,11.0,2.0,32.0,,,,17
563,2011.0,42.0,2.0,28.0,1.0,2.0,58.0,72.0,38.0,19.0,4.0,2.0,16.0,29.0,14.0,,4.0,12.0,1.0,33.0,,,,17
563,2012.0,42.0,2.0,28.0,1.0,2.0,58.0,72.0,39.0,20.0,5.0,1.0,19.0,33.0,13.0,,3.0,12.0,,29.0,,,,17
564,2005.0,124.0,42.0,458.0,10.0,23.0,860.0,1460.0,552.0,312.0,347.0,87.0,588.0,1032.0,279.0,1.0,92.0,242.0,74.0,449.0,,,,17
564,2006.0,129.0,41.0,478.0,12.0,26.0,915.0,1480.0,563.0,313.0,383.0,84.0,610.0,1103.0,292.0,2.0,101.0,267.0,93.0,480.0,,,,17
564,2007.0,134.0,39.0,484.0,13.0,28.0,1002.0,1506.0,565.0,322.0,408.0,78.0,666.0,1177.0,322.0,2.0,104.0,327.0,115.0,497.0,1.0,,,17
564,2008.0,134.0,35.0,489.0,13.0,28.0,1059.0,1507.0,586.0,324.0,442.0,81.0,699.0,1233.0,345.0,2.0,108.0,355.0,128.0,531.0,1.0,,,17
564,2009.0,140.0,32.0,503.0,13.0,32.0,1046.0,1534.0,598.0,328.0,474.0,86.0,736.0,1273.0,362.0,1.0,119.0,364.0,153.0,545.0,1.0,,,17
564,2010.0,146.0,33.0,523.0,15.0,29.0,1085.0,1539.0,587.0,339.0,504.0,99.0,757.0,1352.0,374.0,1.0,130.0,370.0,168.0,589.0,1.0,,,17
564,2011.0,157.0,35.0,535.0,14.0,28.0,1115.0,1518.0,590.0,369.0,537.0,102.0,792.0,1452.0,394.0,1.0,136.0,395.0,182.0,623.0,1.0,,,17
564,2012.0,149.0,37.0,549.0,15.0,29.0,1126.0,1504.0,593.0,378.0,591.0,104.0,825.0,1527.0,406.0,1.0,154.0,398.0,209.0,658.0,1.0,,,17
309,2005.0,11.0,1.0,48.0,1.0,3.0,43.0,62.0,23.0,14.0,4.0,3.0,20.0,23.0,16.0,,1.0,7.0,1.0,26.0,2.0,,,12
309,2006.0,13.0,1.0,47.0,1.0,3.0,44.0,62.0,25.0,11.0,4.0,3.0,22.0,28.0,20.0,,1.0,9.0,1.0,24.0,,,,12
309,2007.0,13.0,1.0,49.0,1.0,3.0,48.0,61.0,25.0,11.0,7.0,3.0,21.0,30.0,23.0,,1.0,8.0,1.0,25.0,,,,12
309,2008.0,15.0,1.0,51.0,1.0,3.0,48.0,64.0,26.0,9.0,7.0,3.0,20.0,32.0,22.0,,1.0,8.0,1.0,25.0,,,,12
309,2009.0,16.0,1.0,52.0,1.0,3.0,50.0,58.0,28.0,10.0,7.0,3.0,20.0,32.0,19.0,,2.0,11.0,2.0,27.0,,,,12
309,2010.0,17.0,1.0,53.0,1.0,3.0,52.0,59.0,27.0,12.0,5.0,3.0,22.0,32.0,17.0,,3.0,13.0,3.0,29.0,,,,12
309,2011.0,15.0,1.0,49.0,1.0,2.0,53.0,56.0,30.0,12.0,9.0,2.0,22.0,29.0,19.0,,3.0,12.0,2.0,28.0,,,,12
309,2012.0,15.0,1.0,49.0,1.0,2.0,50.0,54.0,26.0,11.0,9.0,2.0,21.0,29.0,18.0,,2.0,10.0,2.0,25.0,,,,12
576,2005.0,22.0,1.0,33.0,1.0,2.0,36.0,33.0,26.0,14.0,3.0,,20.0,18.0,14.0,,,2.0,1.0,11.0,,,,07
576,2006.0,25.0,1.0,35.0,1.0,2.0,36.0,36.0,25.0,12.0,3.0,,21.0,21.0,15.0,,,4.0,2.0,11.0,,,,07
576,2007.0,28.0,1.0,33.0,1.0,2.0,35.0,35.0,25.0,12.0,4.0,,23.0,19.0,17.0,,,4.0,2.0,10.0,,,,07
576,2008.0,28.0,1.0,32.0,1.0,2.0,38.0,34.0,26.0,12.0,4.0,,22.0,17.0,16.0,,,4.0,2.0,8.0,,,,07
576,2009.0,28.0,1.0,31.0,1.0,2.0,38.0,35.0,25.0,12.0,3.0,,20.0,20.0,17.0,,,3.0,1.0,9.0,,,,07
576,2010.0,30.0,1.0,30.0,1.0,2.0,40.0,39.0,23.0,12.0,3.0,,18.0,19.0,15.0,,,3.0,1.0,12.0,,,,07
576,2011.0,29.0,1.0,30.0,1.0,2.0,40.0,40.0,21.0,13.0,3.0,,21.0,24.0,16.0,,,3.0,2.0,11.0,,,,07
576,2012.0,29.0,1.0,30.0,1.0,2.0,36.0,30.0,19.0,12.0,3.0,,21.0,27.0,17.0,,,3.0,3.0,11.0,,,,07
577,2005.0,32.0,1.0,58.0,1.0,2.0,94.0,95.0,45.0,19.0,13.0,4.0,34.0,52.0,23.0,,4.0,13.0,12.0,32.0,,,,02
577,2006.0,35.0,1.0,56.0,1.0,2.0,102.0,102.0,45.0,19.0,14.0,4.0,36.0,57.0,27.0,,5.0,18.0,12.0,34.0,,,,02
577,2007.0,36.0,1.0,57.0,1.0,3.0,107.0,110.0,49.0,22.0,16.0,3.0,38.0,63.0,27.0,,6.0,19.0,11.0,37.0,,,,02
577,2008.0,39.0,1.0,55.0,1.0,4.0,113.0,104.0,48.0,25.0,13.0,4.0,41.0,69.0,25.0,,6.0,21.0,12.0,35.0,1.0,,,02
577,2009.0,36.0,1.0,53.0,1.0,5.0,121.0,112.0,48.0,20.0,13.0,3.0,42.0,69.0,25.0,,7.0,23.0,15.0,38.0,1.0,,,02
577,2010.0,37.0,1.0,49.0,1.0,6.0,129.0,112.0,46.0,23.0,14.0,2.0,44.0,74.0,25.0,,7.0,26.0,16.0,47.0,1.0,,,02
577,2011.0,40.0,1.0,49.0,1.0,6.0,138.0,117.0,48.0,22.0,14.0,2.0,43.0,75.0,29.0,,8.0,31.0,18.0,56.0,1.0,,,02
577,2012.0,40.0,1.0,57.0,1.0,7.0,146.0,122.0,50.0,21.0,14.0,2.0,41.0,79.0,29.0,,8.0,33.0,14.0,60.0,1.0,,,02
578,2005.0,15.0,1.0,21.0,,3.0,23.0,25.0,19.0,6.0,1.0,1.0,10.0,11.0,15.0,,2.0,4.0,,10.0,,,,18
578,2006.0,15.0,1.0,21.0,,3.0,25.0,25.0,19.0,6.0,1.0,1.0,9.0,10.0,14.0,,2.0,4.0,,10.0,,,,18
578,2007.0,15.0,1.0,21.0,,3.0,27.0,23.0,20.0,8.0,1.0,1.0,10.0,12.0,13.0,,2.0,5.0,,9.0,,,,18
578,2008.0,17.0,1.0,22.0,,3.0,29.0,21.0,21.0,8.0,1.0,1.0,9.0,12.0,14.0,,2.0,5.0,,9.0,,,,18
578,2009.0,16.0,1.0,22.0,,3.0,29.0,22.0,19.0,7.0,1.0,1.0,9.0,14.0,14.0,,3.0,6.0,,11.0,,,,18
578,2010.0,16.0,1.0,22.0,,3.0,30.0,26.0,20.0,7.0,1.0,1.0,8.0,14.0,17.0,,3.0,6.0,,11.0,,,,18
578,2011.0,16.0,1.0,22.0,,3.0,31.0,27.0,21.0,7.0,,1.0,8.0,16.0,17.0,,4.0,7.0,,12.0,,,,18
578,2012.0,16.0,1.0,21.0,,3.0,28.0,31.0,20.0,9.0,,1.0,8.0,16.0,16.0,,4.0,5.0,,14.0,,,,18
445,2005.0,53.0,4.0,119.0,1.0,3.0,194.0,203.0,84.0,81.0,30.0,13.0,78.0,121.0,52.0,,10.0,17.0,13.0,45.0,,,,02
445,2006.0,55.0,4.0,113.0,1.0,1.0,208.0,196.0,88.0,83.0,31.0,14.0,84.0,123.0,58.0,,9.0,20.0,16.0,43.0,,,,02
445,2007.0,55.0,4.0,120.0,1.0,2.0,226.0,190.0,92.0,82.0,33.0,14.0,86.0,131.0,64.0,,7.0,25.0,15.0,45.0,,,,02
445,2008.0,55.0,3.0,117.0,1.0,3.0,238.0,193.0,88.0,82.0,36.0,14.0,86.0,134.0,69.0,,7.0,24.0,16.0,48.0,,,,02
445,2009.0,59.0,3.0,114.0,1.0,3.0,249.0,187.0,85.0,87.0,32.0,14.0,86.0,134.0,73.0,,8.0,25.0,17.0,50.0,,,,02
445,2010.0,61.0,3.0,110.0,1.0,4.0,265.0,195.0,90.0,82.0,33.0,14.0,85.0,127.0,78.0,,10.0,31.0,20.0,55.0,,,,02
445,2011.0,62.0,3.0,118.0,1.0,5.0,274.0,196.0,88.0,79.0,34.0,12.0,85.0,134.0,86.0,,13.0,34.0,23.0,57.0,,,,02
445,2012.0,63.0,2.0,118.0,1.0,5.0,285.0,200.0,88.0,77.0,33.0,13.0,94.0,146.0,85.0,,13.0,32.0,25.0,60.0,,,,02
580,2005.0,35.0,,34.0,1.0,5.0,52.0,62.0,37.0,14.0,2.0,3.0,9.0,17.0,19.0,,1.0,7.0,1.0,19.0,,,,09
580,2006.0,37.0,,34.0,1.0,5.0,51.0,58.0,36.0,11.0,3.0,3.0,11.0,17.0,18.0,,1.0,6.0,4.0,19.0,,,,09
580,2007.0,39.0,,32.0,1.0,5.0,54.0,57.0,37.0,17.0,2.0,3.0,14.0,21.0,18.0,,1.0,6.0,4.0,19.0,,,,09
580,2008.0,42.0,,33.0,1.0,4.0,55.0,57.0,37.0,14.0,2.0,3.0,13.0,25.0,20.0,,1.0,5.0,6.0,23.0,,,,09
580,2009.0,42.0,,30.0,1.0,4.0,58.0,57.0,34.0,16.0,3.0,3.0,12.0,26.0,21.0,,1.0,5.0,5.0,22.0,,,,09
580,2010.0,42.0,,29.0,1.0,4.0,58.0,62.0,36.0,17.0,3.0,3.0,12.0,24.0,23.0,,1.0,5.0,3.0,22.0,,,,09
580,2011.0,42.0,,28.0,1.0,4.0,59.0,58.0,37.0,17.0,4.0,3.0,12.0,25.0,26.0,,1.0,3.0,4.0,24.0,,,,09
580,2012.0,43.0,1.0,26.0,1.0,5.0,58.0,60.0,36.0,15.0,4.0,3.0,13.0,31.0,25.0,,1.0,5.0,5.0,23.0,,,,09
581,2005.0,32.0,14.0,87.0,2.0,3.0,76.0,103.0,46.0,22.0,6.0,4.0,41.0,39.0,18.0,,3.0,8.0,4.0,27.0,,,,06
